"","term","estimate","std.error","statistic","p.value","response","spatialunit","size"
"200","MARCAT_prct",-3.02694683063404e-05,1.14246429857518e-05,-2.6494892089049,0.00822184848823389,"ermqddt","huc","14"
"201","Logger_Salin_mean",-7.41496007775911e-05,1.7895711661854e-05,-4.14342844691929,3.7892962460129e-05,"ermqddt","huc","14"
"202","(Intercept)",0.0123639844989994,0.00180062452092398,6.86649790410211,1.3186988049897e-11,"ermqmet","huc","08"
"203","SiltClay",0.000971100583820334,1.98057302707879e-05,49.0312940014457,1.55209749424026e-243,"ermqmet","huc","08"
"204","SP02",0.00273718458251641,0.000601958463791102,4.54713198196064,6.27747492148402e-06,"ermqmet","huc","08"
"205","preSON_PRCP_diff",-0.000148088348005717,3.54264562573802e-05,-4.18016261434183,3.23351249485603e-05,"ermqmet","huc","08"
"206","GROUP_B_prct",-0.000395509782221984,0.000141318977371568,-2.79870254921302,0.00525396891485613,"ermqmet","huc","08"
"207","IMPERV_PRCT",0.000652143829107429,0.000318064185171025,2.05035291463818,0.0406545801916803,"ermqmet","huc","08"
"208","(Intercept)",1.92805764650153e-05,0.00241779662398976,0.00797444097394728,0.993639397353143,"ermqmet","huc","10"
"209","SiltClay",0.000968333397757853,1.99632468392392e-05,48.50580697397,4.34041429962369e-239,"ermqmet","huc","10"
"210","SP02",0.00266098615373445,0.000602902316150178,4.41362735297839,1.15777381986874e-05,"ermqmet","huc","10"
"211","preSON_PRCP_diff",-0.000163939356881796,3.53490823099738e-05,-4.63772596539347,4.12144478295261e-06,"ermqmet","huc","10"
"212","POORLY_DRAINE_prct",0.000134199570423832,3.59676221390796e-05,3.73112155996603,0.000204278675673194,"ermqmet","huc","10"
"213","personsPERha",0.00235077428353528,0.000615869566835249,3.81700023856535,0.000145647932800683,"ermqmet","huc","10"
"214","(Intercept)",0.0116766899230637,0.00131821984763556,8.85792301186157,7.78167526402699e-18,"ermqmet","huc","12"
"215","SiltClay",0.000976159742934447,2.30606998528289e-05,42.3300137968146,1.01993698635112e-188,"ermqmet","huc","12"
"216","IMPERV_PRCT",0.000348026837649591,8.66116654338887e-05,4.01824437743023,6.55159884103177e-05,"ermqmet","huc","12"
"217","preSON_PRCP_diff",-0.000151118647258692,3.97610107608882e-05,-3.80067418727048,0.000157909011470904,"ermqmet","huc","12"
"218","SP02",0.00238504925737895,0.000676474142521818,3.52570646453354,0.000452134181414807,"ermqmet","huc","12"
"219","MIXED_FOREST_prct",-0.000590180062935805,0.000213585259821201,-2.76320596013912,0.00588616628867032,"ermqmet","huc","12"
"220","ALL_PONDS_density",-0.00102154144527792,0.000390852747706743,-2.61362226892769,0.00916683435365192,"ermqmet","huc","12"
"221","(Intercept)",0.0114880455753467,0.00149451997217961,7.68677956079269,6.00956045962321e-14,"ermqmet","huc","14"
"222","SiltClay",0.000970048318588356,2.43825820490929e-05,39.784478798645,4.13332814714791e-172,"ermqmet","huc","14"
"223","IMPERV_PRCT",0.000314745965490116,8.90483406040661e-05,3.53455172050386,0.000439193608375697,"ermqmet","huc","14"
"224","preSON_PRCP_diff",-0.000151861165491746,4.26349784422815e-05,-3.56189145720652,0.000396722313309157,"ermqmet","huc","14"
"225","SP02",0.00218055290832027,0.000717371526890038,3.03964239809383,0.00246938107111426,"ermqmet","huc","14"
"226","MIXED_FOREST_prct",-0.000519484416929889,0.000231520067808608,-2.24379865575771,0.0252009499758923,"ermqmet","huc","14"
"227","ALL_PONDS_density",-0.000830872462822167,0.000411441707790002,-2.01941720319283,0.043877850420637,"ermqmet","huc","14"
"228","(Intercept)",-0.00537501670145225,0.00102319311187882,-5.25317913016682,1.94705330402376e-07,"ermqpah","huc","08"
"229","SiltClay",8.89337991665843e-05,5.91603502976153e-06,15.0326694685189,7.23940693667086e-45,"ermqpah","huc","08"
"230","personsPERha",0.00330535386085675,0.000364632419796309,9.06489297551542,1.05990695631712e-18,"ermqpah","huc","08"
"231","CHANNEL_WIDTH_log",0.000294471731806777,9.43037190238926e-05,3.12258874681464,0.0018611869923201,"ermqpah","huc","08"
